term,simple
recussitation,Reviving someone from death or unconsciousness.
Recut,Refers to a sample used in a lab test.
red,A type of blood cell that carries oxygen in our bodies.
red blood,Particles in blood that carry oxygen and are produced in the bone marrow.
red blood cell,Blood cell that carries oxygen and is produced in the bone marrow.
red cell,A red cell is a blood cell that carries oxygen around the body and is produced in the bone marrow.
red cells,Red cells are blood cells that carry oxygen throughout the body.
red negative,A red dye used in labs to find amyloid and specific germs.
red reflex,Reflection of red light from the back of the eye that helps detect eye problems.
red wale,A red patch or stripe on abnormal veins that indicates an increased risk of bleeding.
redbride,Redbride is a surgery done again to remove infected and dead tissue from a wound.
reddish purplish,"When your skin turns a mix of red and purple after being hit, that's a bruise."
redebridement,A surgical procedure to clean out infected or dead tissue from a wound.
redemonstrate,Showing something again.
Redemonstration,Encountering a question on a test about something you already studied.
Redicat,A drug that helps doctors take pictures of your stomach and intestines.
redistribution,Moving something around so everyone gets an equal share.
redman syndrome,"A bad skin reaction caused by the medicine vancomycin, resulting in a red rash on the face, neck, and chest."
redrainage,Draining excess liquid from the body again.
redraw,Drawing blood from a vein for tests.
redress,To fix or correct a problem or injustice.
reduce,Fixing a broken bone by putting it back into the right position through surgery.
REDUCED,Lessened amount.
reducing,Fixing a broken bone through surgery to make sure it heals properly.
reduction,Fixing a broken bone or putting a body part back in its proper place through surgery.
redundancy,Redundancy means having extra or unnecessary things.
redundant,Something that is not necessary or useful anymore.
redundant pharyngeal,"There's too much tissue in the throat, which can cause breathing problems."
reendoscopy,A reendoscopy is when a doctor does a second examination of your organs to help with digestion.
reepithelialization,When cells grow back and cover a surface again.
reequilibration,Reequilibration means restoring balance.
reestablishment,To make something new or bring back something that was lost.
reevacuation,Taking something out again.
reevaluate,To assess something again and form a new opinion.
reevaluated,To look at something once more and decide what to think about it.
reevaluation,To reevaluate means to keep checking a patient's condition repeatedly.
reexam,To check someone's condition by taking another close look.
reexpand,Restoring air to a collapsed lung.
reexpansion,reexpansion is when there's too much fluid in a bigger area.
Reexploration,To look inside the body or an organ again to check for disease.
REFER,Referring a patient means sending them to another place for medical care.
REFERENCE INTERVAL,Normal lab values.
referral,When a doctor sends a patient to another medical provider for additional care.
referrals,When a patient is recommended to see another doctor or healthcare provider for additional services.
referred,Feeling pain in a different body part than where it originates.
referred chest,Pain in the chest that originates from a different place than the heart.
referrer,A referrer is a healthcare professional who directs a patient to a specialist and gives guidance on the patient's treatment plan.
referring,Sending someone to another place for medical treatment.
Refill,A refill is the total amount or complete number.
refistulization,When the body creates another fistula.
refixation,Adjusting something twice to make sure it's in place.
reflect,To bounce back an image or thought.
reflected,Bouncing off light or sound waves from a surface.
reflection,Bouncing back light or sound waves.
reflects,A term that mirrors or symbolizes something else.
reflex,"A reflex is a quick, automatic reaction your body makes in response to something happening."
reflex sympathetic dystrophy,Pain connected to a minor nerve injury.
reflex tachycardia,Fast heart rate that happens when blood pressure drops.
reflexes,"Reflexes are automatic body movements in response to a trigger, like when your eye adjusts to light."
reflexic,A reflexic is a response that happens automatically without thinking about it.
reflux,"When stomach acid rises up the throat, it causes a burning sensation called reflux."
reflux disease,"Stomach acid flowing back into your food pipe, also known as heartburn."
refocused,Getting back on track and concentrating after being distracted or unfocused.
Reformat,Reformat is a way to make images from different views like front or side.
reformation,A reformation is like seeing different layers of an image from a specific angle.
reformations,Reformations are like cross-sectional views shown from a certain angle.
reformats,Reformats: A technique in imaging to generate images from different angles.
reformatted,A method for turning front or side views into images is reformatting.
refraction,Bending of light in an eye exam.
refrain,To refrain means to hold back or not do something.
Refresh,Eye drops that help moisten the eyes.
refusion,A refusion is when doctors try again to join the vertebrae of the spine.
reg diet,Eating regular meals.
regard,thinking about something or taking it into consideration.
regarding,About means concerning or in reference to something.
regards,About or concerning something.
regemin,"A treatment plan that details medication dosage, timing, and duration."
regenerative,Regenerative refers to the transformation of normal liver structure into a nodule.
regenerative changes,Regenerative changes are the body's way of repairing damaged tissue when viewed under a microscope.
regenerative nodules,When liver changes into a nodule structure.
regerative changes,When damaged tissue is healing and repairing itself as seen under a microscope.
regime,The way things are typically done or organized.
regimen--,"A regimen is like a plan for your treatment, detailing how much, how often, and for how long you need to do it."
regimenn,"A regimen is a specific plan that tells you how much medication to take, when to take it, and how long to take it for."
regimens,"A treatment plan that includes specific instructions on medication dosage, timing, and duration."
regiment,"A regiment is just a plan that tells you how much medicine to take, when to take it, and for how long."
region,A region is a certain area close to a specific part of the body.
Regional,A specific part of the body.
regional anesthesia,A temporary numbing of a specific body part due to medication.
regional enteritis,"Regional enteritis is when your intestines get all inflamed, which makes your stomach hurt and gives you the runs."
Regional lymph node,A lymph node that collects fluid from the area near a tumor.
